time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,5.4,93.3,1,3.1,196,,0,0,0
2060,1,1,1,6.2,93.7,0.6,2.1,183,,0,0,0
2060,1,1,2,6.7,93.4,0.3,1.5,187,,0,0,0
2060,1,1,3,7.2,93,0.3,1.6,187,,0,0,0
2060,1,1,4,7.4,92.7,0.3,1.6,188,,0,0,0
2060,1,1,5,7.2,92.5,0.4,1.9,196,,0,0,0
2060,1,1,6,7,92.1,0.5,2,203,,0,0,0
2060,1,1,7,6.8,91.5,0.7,2.6,192,,5,0,0
2060,1,1,8,6.3,92.1,0.9,2.8,207,,38,38,0
2060,1,1,9,7.9,86.3,1.2,5.7,135,,183,83,430
2060,1,1,10,8.8,82.3,0.8,2.6,278,,255,56,650
2060,1,1,11,9.5,77.1,1,2.4,256,,287,54,684
2060,1,1,12,9.5,76.7,0.7,2.1,262,,263,91,520
2060,1,1,13,8.7,76.8,1.5,3.5,290,,140,140,0
2060,1,1,14,8.9,74.1,1.1,3,280,,75,75,0
2060,1,1,15,8.4,76.6,0.9,2.6,162,,26,26,0
2060,1,1,16,8.1,75,0.4,2.7,270,,0,0,0
2060,1,1,17,8,75.9,0.8,3.5,248,,0,0,0
2060,1,1,18,7.8,80.2,1.7,4.1,191,,0,0,0
2060,1,1,19,7.9,78.6,2.5,7.5,137,,0,0,0
2060,1,1,20,7.6,78.6,1.7,5.8,281,,0,0,0
2060,1,1,21,7.4,80.2,0.5,3.4,207,,0,0,0
2060,1,1,22,7.5,80.8,1,3.9,146,,0,0,0
2060,1,1,23,7.2,82.4,1.2,3.3,225,,0,0,0
2060,1,2,0,7.3,82,0.3,2.5,207,,0,0,0
2060,1,2,1,7.3,81.8,0.8,3.6,146,,0,0,0
2060,1,2,2,7.6,80.7,1.1,6.1,135,,0,0,0
2060,1,2,3,8.5,83.2,2.5,6.9,130,,0,0,0
2060,1,2,4,9.2,84.9,2.4,9,167,,0,0,0
2060,1,2,5,10.2,82.7,1.2,7,219,,0,0,0
2060,1,2,6,9.4,85.5,0.9,3,315,,0,0,0
2060,1,2,7,8.9,92.6,1,4,243,,3,0,0
2060,1,2,8,11.1,86.8,4.5,11,164,,11,11,0
2060,1,2,9,10.3,90.7,1.2,3.4,279,,23,23,0
2060,1,2,10,9.8,92.1,1,3.5,300,,27,27,0
2060,1,2,11,9.9,93.6,1.3,4.9,139,,32,32,0
2060,1,2,12,10.6,92.3,1.5,4.4,270,,52,52,0
2060,1,2,13,11.1,91.8,1.2,6.2,294,,65,65,0
2060,1,2,14,11.2,88.1,3.1,15.5,295,,13,13,0
2060,1,2,15,12,85.4,4.5,17.2,262,,4,4,0
2060,1,2,16,11,91.6,1.1,4.4,180,,0,0,0
2060,1,2,17,11.4,86.8,2.5,14.6,126,,0,0,0
2060,1,2,18,14.4,59.1,3.2,18.4,49,,0,0,0
2060,1,2,19,17.6,32.8,5,20.6,10,,0,0,0
2060,1,2,20,14.3,49.8,5.5,18.5,8,,0,0,0
2060,1,2,21,14.6,42.3,5.7,22.2,4,,0,0,0
2060,1,2,22,14.5,36.9,6.6,18.6,7,,0,0,0
2060,1,2,23,14,36.8,4.6,20.8,22,,0,0,0
2060,1,3,0,12.6,46.4,5.6,12.9,354,,0,0,0
2060,1,3,1,10.7,60.9,5.6,12,310,,0,0,0
2060,1,3,2,10.3,61.7,6.1,13.7,295,,0,0,0
2060,1,3,3,9.9,64.6,3.7,9,293,,0,0,0
2060,1,3,4,10,62.6,4.5,11.4,279,,0,0,0
2060,1,3,5,10.1,60.5,4.9,11.2,279,,0,0,0
2060,1,3,6,10.1,58.6,3.5,9.1,274,,0,0,0
2060,1,3,7,9.1,64.4,0.8,4.4,172,,5,0,0
