time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,0.9,91.2,1.6,3.6,179,71,0,0,0
2060,1,1,1,2.1,91.3,1.8,4,147,83,0,0,0
2060,1,1,2,3,91.4,1.9,4.1,128,90,0,0,0
2060,1,1,3,3.9,91.6,2.1,4.3,109,97,0,0,0
2060,1,1,4,4.4,91.9,2.1,4.2,100,100,0,0,0
2060,1,1,5,4.4,92,2,4,101,100,0,0,0
2060,1,1,6,4.5,92.1,2,3.8,103,100,0,0,0
2060,1,1,7,4.6,92.1,1.9,3.8,102,100,2,0,0
2060,1,1,8,4.7,92.5,1.8,4,99,100,19,19,0
2060,1,1,9,5.2,90.6,1.8,3.7,99,100,66,66,0
2060,1,1,10,5.9,89.6,1.5,3,98,100,117,111,21
2060,1,1,11,6.2,88.2,1.8,3.4,99,100,109,109,1
2060,1,1,12,6.2,87.9,1.5,2.9,86,100,54,54,0
2060,1,1,13,6.2,86.7,1.5,4.1,94,100,47,47,0
2060,1,1,14,6.2,87,1.4,2.6,103,100,19,19,0
2060,1,1,15,6.2,87.7,1.4,2.8,107,100,7,7,0
2060,1,1,16,6.1,89.5,1.7,3.9,94,100,1,0,0
2060,1,1,17,5.9,90.1,2,3.8,102,100,0,0,0
2060,1,1,18,6,90.2,2.1,4,95,100,0,0,0
2060,1,1,19,6,91,1.3,2.8,103,100,0,0,0
2060,1,1,20,6,92.3,2,3.5,96,100,0,0,0
2060,1,1,21,6.1,92.9,1.8,4.3,93,100,0,0,0
2060,1,1,22,6,92.5,1.9,4.1,96,100,0,0,0
2060,1,1,23,6.1,92.5,1.7,4.2,101,100,0,0,0
2060,1,2,0,6.1,92.1,2.6,5.9,97,100,0,0,0
2060,1,2,1,6.1,91.9,2.2,4,98,100,0,0,0
2060,1,2,2,6.1,91.8,1.8,3.6,96,100,0,0,0
2060,1,2,3,6.1,91.9,1.7,3.5,97,100,0,0,0
2060,1,2,4,6.1,91.5,1.6,3.1,90,100,0,0,0
2060,1,2,5,6.1,91.8,1.7,3.9,103,100,0,0,0
2060,1,2,6,6.1,91.5,2.1,4.4,87,100,0,0,0
2060,1,2,7,6.1,92.3,2.5,5.5,95,98,0,0,0
2060,1,2,8,6.2,92.1,2.7,5.6,92,96,31,31,0
2060,1,2,9,5.9,93.2,2.6,5.2,85,94,78,76,8
2060,1,2,10,6.2,91,1.7,4.9,76,92,92,92,0
2060,1,2,11,6.9,87.7,1.6,3.8,86,90,133,127,20
2060,1,2,12,7.2,85.1,2.4,6,100,88,77,77,0
2060,1,2,13,7.2,84.7,3.1,6.4,122,90,79,79,0
2060,1,2,14,6.9,83.7,2.5,5.9,99,92,47,47,0
2060,1,2,15,6.3,84,2.8,6.6,82,94,14,14,0
2060,1,2,16,5.9,85.3,3.3,6.5,110,96,0,0,0
2060,1,2,17,6,85.4,2.9,6.7,92,98,0,0,0
2060,1,2,18,5.8,85.3,3.1,7,94,100,0,0,0
2060,1,2,19,5.6,85.8,3.2,7.6,77,100,0,0,0
2060,1,2,20,5.4,86.3,2.9,6.8,80,100,0,0,0
2060,1,2,21,5.5,84.4,2.8,7,101,100,0,0,0
2060,1,2,22,5.4,85.2,2.4,6.2,73,100,0,0,0
2060,1,2,23,5.3,85,2,5.1,99,100,0,0,0
2060,1,3,0,5.1,85.9,2.3,4.5,108,100,0,0,0
2060,1,3,1,5.1,85.7,2.1,3.9,156,100,0,0,0
2060,1,3,2,4.8,83,1.7,4.2,242,100,0,0,0
2060,1,3,3,4.4,84,2.1,5.1,267,100,0,0,0
2060,1,3,4,4.4,85.1,1.5,4,203,100,0,0,0
2060,1,3,5,4.6,84,2.5,5,146,100,0,0,0
2060,1,3,6,4.5,82.9,4.4,6.8,160,100,0,0,0
2060,1,3,7,4,83.7,3.5,6,172,98,4,0,0
2060,1,3,8,4.1,83.9,2.3,5.2,170,96,54,40,126
2060,1,3,9,4.8,80.5,3.8,6.1,147,94,137,80,262
2060,1,3,10,5.5,78.4,3.9,5.8,149,92,156,127,97
2060,1,3,11,6.4,76.9,3.7,5.8,148,90,185,139,140
2060,1,3,12,6.8,74.9,2.6,4.6,160,88,178,144,101
2060,1,3,13,7.1,72.4,2.5,4.3,153,73,217,88,453
2060,1,3,14,6.8,73.5,2.9,5.2,157,58,147,49,494
2060,1,3,15,5.9,77.7,3.1,5.5,161,44,48,48,0
2060,1,3,16,5.2,80.9,2.3,3.6,135,29,0,0,0
2060,1,3,17,4.1,84.8,2.5,3.7,143,15,0,0,0
2060,1,3,18,3.8,85.4,2.4,3.7,137,0,0,0,0
2060,1,3,19,3.5,86.5,2.9,5.1,129,7,0,0,0
2060,1,3,20,3.3,87.1,3.1,5.1,136,15,0,0,0
2060,1,3,21,2.9,89,3.3,5.8,137,22,0,0,0
2060,1,3,22,2.8,89.6,3.3,7,131,29,0,0,0
2060,1,3,23,3.1,88.5,2.7,5.5,127,36,0,0,0
2060,1,4,0,3.2,88.9,2.1,4.5,141,44,0,0,0
2060,1,4,1,3.3,88.6,2,4.8,122,51,0,0,0
2060,1,4,2,3.5,87.1,2.5,6.1,130,58,0,0,0
2060,1,4,3,4.7,83.4,1.5,2.7,157,66,0,0,0
2060,1,4,4,4.8,83.4,2.2,4.7,133,73,0,0,0
2060,1,4,5,5.2,82.3,2.5,4.3,150,80,0,0,0
2060,1,4,6,5.5,81.6,3.2,5.7,145,88,0,0,0
2060,1,4,7,6.4,80.1,3.3,4.9,155,85,3,0,0
2060,1,4,8,5.9,81.7,2.9,5.6,125,83,47,41,61
2060,1,4,9,6,81.7,3.4,6.6,98,81,149,76,334
2060,1,4,10,7.4,76,3.4,6.6,99,79,233,62,573
2060,1,4,11,8.5,70.6,3.1,6.2,101,77,276,68,621
2060,1,4,12,9.5,67.8,3.2,5.5,104,75,268,68,607
2060,1,4,13,9.8,67.2,3,6.1,98,77,230,55,613
2060,1,4,14,9.3,68.3,3.4,7,102,79,154,45,541
2060,1,4,15,8.6,70.6,3.5,6.5,100,81,54,54,0
2060,1,4,16,7.5,74.9,3.8,7.2,104,83,0,0,0
2060,1,4,17,7,77.1,4,7.1,97,85,0,0,0
2060,1,4,18,6.6,78.7,3.6,7,99,88,0,0,0
2060,1,4,19,6.5,80.8,3.6,6.9,92,89,0,0,0
2060,1,4,20,6.4,84.3,3.7,6.5,98,90,0,0,0
2060,1,4,21,6.2,89.7,3,5.9,96,91,0,0,0
2060,1,4,22,6.2,92.3,3.1,5.8,90,92,0,0,0
2060,1,4,23,6.2,93.1,3.2,6.1,99,93,0,0,0
2060,1,5,0,6.5,93.4,3.6,6.6,98,94,0,0,0
2060,1,5,1,6.8,93.6,3.2,5.7,86,95,0,0,0
2060,1,5,2,6.9,94.1,2.9,5.7,100,96,0,0,0
2060,1,5,3,7,94,1.5,3,94,97,0,0,0
2060,1,5,4,7.2,94,1.8,3.1,99,98,0,0,0
2060,1,5,5,7.7,93.6,1.4,3.4,97,99,0,0,0
2060,1,5,6,8,93.7,1.6,3.6,108,100,0,0,0
2060,1,5,7,8,94,1.2,2.9,114,98,2,0,0
2060,1,5,8,8.6,93.5,1.8,3.6,114,96,59,35,216
2060,1,5,9,9.6,91.7,1.4,3.3,86,94,133,70,288
2060,1,5,10,10,90.4,2.4,4.1,97,92,181,107,248
2060,1,5,11,10.3,90.8,2.2,3.9,93,90,171,145,78
2060,1,5,12,10.8,89.5,2.4,4.3,92,88,180,130,149
2060,1,5,13,10.7,90.6,3,6.5,96,73,243,102,490
2060,1,5,14,10.8,88.6,2.9,5.7,98,58,155,48,527
2060,1,5,15,10.2,88.6,2.8,5.4,98,44,22,22,0
2060,1,5,16,9.4,88.3,3.5,6.6,98,29,0,0,0
2060,1,5,17,8.7,90.2,3.1,6.6,94,15,0,0,0
2060,1,5,18,8.1,91.3,3.2,7,99,0,0,0,0
2060,1,5,19,7.8,92.3,3.8,9.1,93,1,0,0,0
2060,1,5,20,7.5,92.1,4.1,9.1,91,2,0,0,0
2060,1,5,21,7.5,91.6,3.9,8.6,97,3,0,0,0
2060,1,5,22,7.8,90.6,3.6,8.5,103,4,0,0,0
2060,1,5,23,8,90,3.6,8.4,101,5,0,0,0
2060,1,6,0,7.8,89.3,3.6,8.7,114,6,0,0,0
2060,1,6,1,7.4,89.9,3,6.5,130,7,0,0,0
2060,1,6,2,6.6,91.3,2.9,5.5,155,8,0,0,0
2060,1,6,3,5.9,92.1,2.7,5.7,144,9,0,0,0
2060,1,6,4,5.1,92.2,3.2,5.6,152,10,0,0,0
2060,1,6,5,4.7,92.4,3.4,5.7,152,11,0,0,0
2060,1,6,6,5.3,90.2,3.4,5.7,133,12,0,0,0
2060,1,6,7,5.1,89.6,3.4,7.4,118,25,7,0,0
2060,1,6,8,5.9,87.7,3.1,7,103,38,79,49,272
2060,1,6,9,7.1,81.4,2.6,5.6,122,50,158,84,339
2060,1,6,10,7.6,81.9,2.4,5.9,110,62,185,106,265
2060,1,6,11,8.2,82.5,2.5,5.8,104,75,205,153,154
2060,1,6,12,8.7,81.5,3.1,5.7,99,88,223,114,325
2060,1,6,13,9,79.9,3.2,6.2,101,77,230,84,507
2060,1,6,14,9,79.4,3.6,6.7,104,67,129,63,320
2060,1,6,15,8.3,82.8,3.3,7.1,108,56,48,48,0
2060,1,6,16,7.6,84.1,3.3,6.5,102,46,0,0,0
2060,1,6,17,6.8,86.1,3.8,7,99,35,0,0,0
2060,1,6,18,6.4,87.4,3.7,7,102,25,0,0,0
2060,1,6,19,6,88.3,3.2,6.7,94,31,0,0,0
2060,1,6,20,5.7,88.4,3.2,5.9,97,38,0,0,0
2060,1,6,21,5.3,89.3,3,5.9,104,44,0,0,0
2060,1,6,22,5,90.1,3.3,6.7,107,50,0,0,0
2060,1,6,23,4.5,90.6,3.6,6.9,101,56,0,0,0
2060,1,7,0,4.3,90.9,3.2,6.6,104,62,0,0,0
2060,1,7,1,4.7,90.1,3,5.5,110,69,0,0,0
2060,1,7,2,4.9,89.5,3.1,6.7,111,75,0,0,0
2060,1,7,3,5.2,88.9,3.1,6,105,81,0,0,0
2060,1,7,4,5.5,88.7,3.1,6.2,107,88,0,0,0
2060,1,7,5,5.7,89.2,2.9,5.8,104,94,0,0,0
2060,1,7,6,6.1,88.2,2.9,6.1,98,100,0,0,0
2060,1,7,7,6.4,88.1,2.9,6,107,100,2,0,0
2060,1,7,8,6.6,87.1,2.4,5.8,100,100,17,17,0
2060,1,7,9,7,85.3,1.7,4.1,111,100,58,58,0
2060,1,7,10,7.3,84.7,1.7,3.4,135,100,67,67,0
2060,1,7,11,7.8,84.1,1.3,2.8,108,100,70,70,0
2060,1,7,12,8,83.1,2.3,4.4,95,100,73,73,0
2060,1,7,13,8.2,82.5,2,4,105,98,75,75,0
2060,1,7,14,8.3,82.6,1.3,3,108,96,56,56,0
2060,1,7,15,8.4,83.3,1,2.2,148,94,20,20,0
2060,1,7,16,8.4,84.3,1.2,3.3,135,92,2,0,0
2060,1,7,17,8.2,84.1,2,4,84,90,0,0,0
2060,1,7,18,8.1,84.2,1.5,4.2,90,88,0,0,0
2060,1,7,19,8,85.8,1,2.5,122,88,0,0,0
2060,1,7,20,8,86.6,0.8,1.6,135,88,0,0,0
2060,1,7,21,8.1,86.5,0.9,1.6,131,88,0,0,0
2060,1,7,22,8.1,86.1,1.5,2.8,102,88,0,0,0
2060,1,7,23,7.9,86.7,1.7,3.3,100,88,0,0,0
2060,1,8,0,7.8,87.5,1.5,3.1,98,88,0,0,0
2060,1,8,1,7.7,87.9,2.1,3.9,107,88,0,0,0
2060,1,8,2,7.6,88.1,2.2,5.5,98,88,0,0,0
2060,1,8,3,7.5,87.5,2,4.8,93,88,0,0,0
2060,1,8,4,7.4,87.5,1.4,3,94,88,0,0,0
2060,1,8,5,7.1,89,1.1,2.4,131,88,0,0,0
2060,1,8,6,7.1,88.3,1.7,3.6,107,88,0,0,0
2060,1,8,7,6.7,88.2,2.2,4,101,75,3,0,0
2060,1,8,8,6.9,88.5,1.4,3.6,117,62,20,20,0
2060,1,8,9,7.7,85.8,1.7,4.2,148,50,144,84,272
2060,1,8,10,8.6,79,2.3,4.2,124,38,228,76,501
2060,1,8,11,9.6,74.6,2.2,3.9,100,25,274,78,576
2060,1,8,12,10.4,69.5,2.2,4.9,95,12,273,101,508
2060,1,8,13,10.5,68.8,2.6,5,97,21,167,110,195
2060,1,8,14,10.2,70.2,2,4.9,90,29,76,73,11
2060,1,8,15,9.7,70.3,2.3,5.6,100,38,19,19,0
2060,1,8,16,9.4,70.8,1.5,4.6,101,46,0,0,0
2060,1,8,17,8.5,72.2,2.4,5.8,102,54,0,0,0
2060,1,8,18,7.7,75.1,2.2,4.6,90,62,0,0,0
2060,1,8,19,7.1,79,3.6,7,103,66,0,0,0
2060,1,8,20,6.9,79.9,2.9,6.2,102,69,0,0,0
2060,1,8,21,6.8,80.9,3,6.4,100,72,0,0,0
2060,1,8,22,6.7,82.2,3.5,6.9,100,75,0,0,0
2060,1,8,23,6.6,82.7,3,5.9,98,78,0,0,0
2060,1,9,0,6.4,83.7,3.2,5.8,101,81,0,0,0
2060,1,9,1,6.4,84.1,3.1,6.4,98,84,0,0,0
2060,1,9,2,6.3,84.9,3,6.4,108,88,0,0,0
2060,1,9,3,6.4,84.1,2.7,4.8,106,91,0,0,0
2060,1,9,4,6.4,84.1,2,3.9,114,94,0,0,0
2060,1,9,5,6.4,86.1,2.3,4.1,100,97,0,0,0
2060,1,9,6,6.4,88.4,2.6,5.2,101,100,0,0,0
2060,1,9,7,6.2,91,3,5.4,99,100,2,0,0
2060,1,9,8,6.3,92.7,2.6,5.2,101,100,12,12,0
2060,1,9,9,6.4,92.8,2.8,6.4,105,100,20,20,0
2060,1,9,10,6.7,92.6,2.9,6,100,100,39,39,0
2060,1,9,11,6.9,92.2,2.9,6.2,98,100,36,36,0
2060,1,9,12,7.3,92.7,2.7,5.1,96,100,44,44,0
2060,1,9,13,7.5,92.8,3,5.4,98,100,50,50,0
2060,1,9,14,7.8,92.8,2.8,6,98,100,38,38,0
2060,1,9,15,7.9,92.1,2.5,4.8,102,100,11,11,0
2060,1,9,16,7.8,91.6,1.8,4,96,100,2,0,0
2060,1,9,17,7.8,92.1,1.1,3.6,124,100,0,0,0
2060,1,9,18,7.8,92.2,1.4,2.8,111,100,0,0,0
2060,1,9,19,7.8,90.8,1.5,3,101,100,0,0,0
2060,1,9,20,7.9,92.3,1.1,2.7,100,100,0,0,0
2060,1,9,21,7.8,94,0.7,1.6,153,100,0,0,0
2060,1,9,22,7.7,93.7,2.3,8.5,304,100,0,0,0
2060,1,9,23,6.5,93.5,4.2,7.7,305,100,0,0,0
2060,1,10,0,6,92.7,4.6,8.2,302,100,0,0,0
2060,1,10,1,5.7,92.9,4.2,7.4,306,100,0,0,0
2060,1,10,2,5.4,92.8,4.1,8.1,302,100,0,0,0
2060,1,10,3,5.1,92.2,3.7,7,306,100,0,0,0
2060,1,10,4,4.9,92,3.3,6.5,299,100,0,0,0
2060,1,10,5,4.7,91.6,3.5,6.1,297,100,0,0,0
2060,1,10,6,4.6,92.5,3.6,7.5,298,100,0,0,0
2060,1,10,7,3.9,92.7,3.6,7,306,100,2,0,0
2060,1,10,8,3.9,93.1,3.3,6.4,299,100,8,8,0
2060,1,10,9,4.1,92.8,2.7,5.8,298,100,23,23,0
2060,1,10,10,4.3,92.4,2.6,4.9,295,100,37,37,0
2060,1,10,11,4.4,92.1,2.4,4.4,298,100,28,28,0
2060,1,10,12,4.3,92.9,2.4,4.6,303,100,20,20,0
2060,1,10,13,4.4,93.4,2.1,3.8,293,100,15,15,0
2060,1,10,14,4.6,93.1,1.9,3.5,288,100,8,8,0
2060,1,10,15,4.6,92.9,1.7,3,267,100,6,6,0
2060,1,10,16,4.4,92.7,1.7,2.9,263,100,0,0,0
2060,1,10,17,4.5,92.8,2,3.7,261,100,0,0,0
2060,1,10,18,4.9,92.5,2.2,4,284,100,0,0,0
2060,1,10,19,4.9,92.7,2.3,4.8,301,100,0,0,0
2060,1,10,20,5.1,92.6,1.8,3.5,294,100,0,0,0
2060,1,10,21,5.1,92.9,2.3,5.2,299,100,0,0,0
2060,1,10,22,5.1,93.3,1.9,3.7,291,100,0,0,0
2060,1,10,23,5.1,93.2,1.5,2.7,290,100,0,0,0
2060,1,11,0,5.1,92.6,1.1,2.5,292,100,0,0,0
2060,1,11,1,5.1,93.3,1.3,2.9,288,100,0,0,0
2060,1,11,2,5.2,92.9,1.5,2.8,312,100,0,0,0
2060,1,11,3,5.2,93.1,2,3.7,309,100,0,0,0
2060,1,11,4,5.2,92.9,1.5,2.9,298,100,0,0,0
2060,1,11,5,5.2,92.8,1,2.6,276,100,0,0,0
2060,1,11,6,5.2,93,1.2,2.2,248,100,0,0,0
2060,1,11,7,5.3,92.4,1.5,2.9,305,100,1,0,0
2060,1,11,8,5.3,91.4,1.8,3.1,308,100,8,8,0
2060,1,11,9,5.4,92.6,1.4,3.1,315,100,20,20,0
2060,1,11,10,5.6,92.2,1.5,3.1,300,100,20,20,0
2060,1,11,11,5.7,91.2,1.5,2.8,298,100,31,31,0
2060,1,11,12,5.8,90.8,1.2,2.2,292,100,29,29,0
2060,1,11,13,5.9,90.5,0.6,1.9,301,100,12,12,0
2060,1,11,14,5.9,90.4,0.7,1.6,233,100,9,9,0
2060,1,11,15,6,91.3,1.1,2.7,270,100,4,4,0
2060,1,11,16,6,91.5,1.5,3.1,295,100,1,0,0
2060,1,11,17,6.1,92,1.4,3.4,291,100,1,0,0
2060,1,11,18,6.2,88.7,0.9,2.7,63,100,0,0,0
2060,1,11,19,6.2,87.8,1.4,4.9,39,100,0,0,0
2060,1,11,20,6,84.3,1.6,4.1,70,100,0,0,0
2060,1,11,21,5.8,82.6,1.5,5,67,100,0,0,0
2060,1,11,22,5.5,80.3,1.7,4.5,93,100,0,0,0
2060,1,11,23,5.2,80,2.5,6.8,104,100,0,0,0
2060,1,12,0,5.1,80.7,3.5,7.8,92,100,0,0,0
2060,1,12,1,4.9,81.1,2.9,6.1,94,100,0,0,0
2060,1,12,2,4.9,81.1,2.3,5.7,80,100,0,0,0
2060,1,12,3,4.8,81.6,2.5,5.5,78,100,0,0,0
2060,1,12,4,4.7,80.6,2.4,5.8,88,100,0,0,0
2060,1,12,5,4.6,81.3,2,4.2,90,100,0,0,0
2060,1,12,6,4.7,80.6,2.1,4.7,90,100,0,0,0
2060,1,12,7,4.7,79.8,2.1,5,99,100,1,0,0
2060,1,12,8,4.7,80,1.3,3.3,90,100,8,8,0
2060,1,12,9,4.8,79.3,1.8,4.1,93,100,21,21,0
2060,1,12,10,5,78.1,1.5,3.7,98,100,29,29,0
2060,1,12,11,5.1,76.4,1.6,4,98,100,33,33,0
2060,1,12,12,5.2,76.1,2,4.7,127,100,38,38,0
2060,1,12,13,5.3,75.1,1.8,4.4,119,100,35,35,0
2060,1,12,14,5.2,73.9,2.2,4.7,107,100,35,35,0
2060,1,12,15,5.2,74.6,1.9,5.4,81,100,16,16,0
2060,1,12,16,5,75.5,2.3,4.6,82,100,3,0,0
2060,1,12,17,4.9,76,2.1,4.9,90,100,0,0,0
2060,1,12,18,4.7,76.7,2,4.8,93,100,0,0,0
2060,1,12,19,4.6,77.6,2.2,4.7,95,92,0,0,0
2060,1,12,20,4.4,78.4,2.2,4.8,95,83,0,0,0
2060,1,12,21,4.2,79.2,2,4.2,93,75,0,0,0
2060,1,12,22,4.1,79.8,1.9,3.7,103,67,0,0,0
2060,1,12,23,3.6,81.9,1.9,3.7,118,58,0,0,0
2060,1,13,0,3,83.6,2.5,6.2,108,50,0,0,0
2060,1,13,1,2.9,83.6,3.4,6.6,117,42,0,0,0
2060,1,13,2,2.8,83.7,3.6,6.8,128,33,0,0,0
2060,1,13,3,2.7,84.2,3.2,6.4,118,25,0,0,0
2060,1,13,4,2.7,83.6,3,6,128,17,0,0,0
2060,1,13,5,2.3,84.8,2.3,4.8,128,8,0,0,0
2060,1,13,6,2.5,84.6,2.7,5.1,124,0,0,0,0
2060,1,13,7,2.4,85,3.3,6.5,129,0,6,0,0
2060,1,13,8,2.9,83.1,3.2,6.7,126,0,66,40,223
2060,1,13,9,3.9,79.7,3.6,8.3,108,0,151,68,360
2060,1,13,10,5.2,76.1,4.1,8.4,100,0,233,81,489
2060,1,13,11,6.4,72.8,4.4,9.1,98,0,279,84,553
2060,1,13,12,7.1,70.1,3.9,7.9,96,0,282,80,575
2060,1,13,13,7.3,69.7,3.9,7.9,99,4,239,73,536
2060,1,13,14,7.3,69.6,3.3,6.9,99,8,161,55,469
2060,1,13,15,6.8,70.7,3.4,6.3,100,12,60,35,228
2060,1,13,16,5.7,75.2,3.7,7.2,101,17,5,0,0
2060,1,13,17,4.9,78.3,3.2,6.8,97,21,0,0,0
2060,1,13,18,4.3,81.2,3.1,6.1,105,25,0,0,0
2060,1,13,19,4,82.5,3.6,6.3,106,23,0,0,0
2060,1,13,20,3.5,84.5,2.9,5.7,124,21,0,0,0
2060,1,13,21,3,85.5,2.4,4.6,115,19,0,0,0
2060,1,13,22,2.9,85.9,3.6,7,104,17,0,0,0
2060,1,13,23,2.7,87,3.5,6.7,107,15,0,0,0
2060,1,14,0,2.6,87.4,3.7,7,98,12,0,0,0
2060,1,14,1,2.3,87.6,3.9,7,100,10,0,0,0
2060,1,14,2,2.3,87.3,4.4,8.6,97,8,0,0,0
2060,1,14,3,2.1,87.7,4.4,8.6,99,6,0,0,0
2060,1,14,4,1.9,88.7,4.2,8.1,102,4,0,0,0
2060,1,14,5,1.8,88.9,4.5,9,98,2,0,0,0
2060,1,14,6,1.7,89.1,4,8.8,97,0,0,0,0
2060,1,14,7,1.6,89.1,4.3,8.5,93,0,5,0,0
2060,1,14,8,1.8,86.9,3.9,8.5,96,0,65,46,165
2060,1,14,9,2.5,83.7,3.9,7.9,90,0,151,70,350
2060,1,14,10,3.6,79.5,3.1,8.1,79,0,240,84,496
2060,1,14,11,4.7,75,3.2,7.6,85,0,293,72,622
2060,1,14,12,5.5,70.8,2.9,6.9,96,0,294,70,634
2060,1,14,13,5.9,67,2.8,6.1,86,0,249,67,584
2060,1,14,14,6.1,63.8,2.2,4.5,90,0,171,53,515
2060,1,14,15,5.6,66.4,2.3,4.7,90,0,68,33,315
2060,1,14,16,4.6,68.4,2,4.4,84,0,5,0,0
2060,1,14,17,3.7,74.6,1.7,3.3,93,0,0,0,0
2060,1,14,18,3.1,80.5,1.8,3.6,90,0,0,0,0
2060,1,14,19,2.5,85.6,2.1,6.1,98,4,0,0,0
2060,1,14,20,2,88.9,3.1,6.1,99,8,0,0,0
2060,1,14,21,1.8,89.9,2.7,5.5,101,12,0,0,0
2060,1,14,22,1.8,90.3,2.1,4.6,87,17,0,0,0
2060,1,14,23,1.6,90.8,2.3,5.6,85,21,0,0,0
2060,1,15,0,1.4,90.5,1.8,5,87,25,0,0,0
2060,1,15,1,1.3,90.5,1.3,3.5,81,29,0,0,0
2060,1,15,2,1.1,89.9,1.6,4.2,76,33,0,0,0
2060,1,15,3,1.2,88.6,1.5,4.2,74,38,0,0,0
2060,1,15,4,-0.2,92.3,0.9,2.5,157,42,0,0,0
2060,1,15,5,0,91.9,1.1,3.3,63,46,0,0,0
2060,1,15,6,0,91.3,1,3.4,188,50,0,0,0
2060,1,15,7,0.5,89.6,0.9,2.3,127,54,7,0,0
2060,1,15,8,1.2,84.7,1.1,3.1,85,58,61,46,130
2060,1,15,9,1.4,81.3,1.4,3.1,82,62,147,87,252
2060,1,15,10,2.2,76.6,1.1,2.9,90,67,286,103,577
2060,1,15,11,2.8,78.5,2.1,5.9,357,71,238,145,259
2060,1,15,12,2.3,80.7,2.3,4.9,345,75,215,157,163
2060,1,15,13,2,82.4,2.7,5.6,323,79,107,106,2
2060,1,15,14,1.6,84.4,2.5,4.9,327,83,51,51,0
2060,1,15,15,1.4,85.8,2.4,4.9,303,88,20,20,0
2060,1,15,16,1.1,86.3,2.5,4.4,312,92,2,0,0
2060,1,15,17,1,87.7,2.3,4.4,299,96,1,0,0
2060,1,15,18,1.1,88.4,1.9,3.8,306,100,0,0,0
2060,1,15,19,0.9,89.8,1.9,3.6,321,100,0,0,0
2060,1,15,20,0.5,90.6,1.9,4.1,317,100,0,0,0
2060,1,15,21,0.6,91.4,1.9,3.4,306,100,0,0,0
2060,1,15,22,0.5,90.3,1.5,3.3,326,100,0,0,0
2060,1,15,23,0.8,89.7,1.6,3.5,315,100,0,0,0
2060,1,16,0,0.7,89.7,1.8,3.4,322,100,0,0,0
2060,1,16,1,0.6,89.7,1.8,3.6,319,100,0,0,0
2060,1,16,2,0.8,89.1,1.1,2.7,323,100,0,0,0
2060,1,16,3,0.9,88.4,1.1,2.5,323,100,0,0,0
2060,1,16,4,1.1,87.4,1.1,2.6,6,100,0,0,0
2060,1,16,5,1.3,86.5,0.5,1.8,27,100,0,0,0
2060,1,16,6,1.4,87.5,0.7,2.6,321,100,0,0,0
2060,1,16,7,1.5,87.5,1.2,2.5,315,98,4,0,0
2060,1,16,8,1.6,86.6,1.5,2.9,307,96,18,18,0
2060,1,16,9,1.9,85,1.4,3.1,330,94,33,33,0
2060,1,16,10,2.3,84.4,1.4,3.4,339,92,50,50,0
2060,1,16,11,2.5,85.8,1.7,3.6,310,90,75,75,0
2060,1,16,12,3.2,83.1,1.7,3.6,317,88,120,119,3
2060,1,16,13,3.5,81.1,1.7,4.1,323,85,85,85,0
2060,1,16,14,3.8,78.5,2.3,4.8,10,83,77,77,0
2060,1,16,15,4,74.7,2.1,4.6,23,81,51,43,66
2060,1,16,16,3.8,71.2,1.3,4,61,79,2,0,0
2060,1,16,17,3.4,69.2,1.5,3.4,45,77,0,0,0
2060,1,16,18,2.9,70.4,1,3.7,79,75,0,0,0
2060,1,16,19,2.3,73.2,1.4,3.4,99,76,0,0,0
2060,1,16,20,1.9,74.5,1.8,3.8,106,77,0,0,0
2060,1,16,21,1.7,73.2,1,3.6,90,78,0,0,0
2060,1,16,22,1.1,81.9,1,3.8,353,79,0,0,0
2060,1,16,23,0.5,86.2,0.6,1.7,143,80,0,0,0
2060,1,17,0,0.1,87.2,0.4,1.5,180,81,0,0,0
2060,1,17,1,0,86.3,0.8,2.1,14,82,0,0,0
2060,1,17,2,-0.6,90.3,0.8,1.6,214,83,0,0,0
2060,1,17,3,-0.6,87.5,1.4,2.5,172,84,0,0,0
2060,1,17,4,-0.6,85.7,1.4,2.9,117,85,0,0,0
2060,1,17,5,-0.5,85.8,1.8,4.5,96,86,0,0,0
2060,1,17,6,0.1,83.5,1.6,4,113,88,0,0,0
2060,1,17,7,0.6,80.7,1.2,3.4,145,90,5,0,0
2060,1,17,8,1.2,78.8,1,2.5,143,92,33,33,0
2060,1,17,9,1.8,77.3,1.2,2.5,110,94,68,68,0
2060,1,17,10,2.4,76.2,1.2,2.8,135,96,76,76,0
2060,1,17,11,3.3,73.5,1,3.1,133,98,109,109,0
2060,1,17,12,4.2,70.7,0.8,3.3,130,100,140,134,19
2060,1,17,13,6,67.2,1.3,2.6,156,100,183,136,147
2060,1,17,14,6.3,67.9,0.2,0.9,153,100,72,72,0
2060,1,17,15,6.1,67.4,0.5,1.4,112,100,31,31,0
2060,1,17,16,6.2,77.1,1.7,4.6,239,100,4,0,0
2060,1,17,17,6.1,83.5,2.8,6.7,242,100,2,0,0
2060,1,17,18,6.1,85.6,1.6,5.4,247,100,0,0,0
2060,1,17,19,6.3,85.9,3.5,8.8,258,100,0,0,0
2060,1,17,20,6.4,86.3,2.7,8.3,242,100,0,0,0
2060,1,17,21,6.4,86.8,1.8,5.7,223,100,0,0,0
