time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,-2.5,83.4,1.3,4.7,170,,0,0,0
2035,1,1,1,-3.3,80.3,1.2,4.3,201,,0,0,0
2035,1,1,2,-3.9,77.7,1,3.9,219,,0,0,0
2035,1,1,3,-4.5,74,1,3.4,235,,0,0,0
2035,1,1,4,-5.1,72,1.1,3.3,241,,0,0,0
2035,1,1,5,-5.5,70.1,1.1,2.8,233,,0,0,0
2035,1,1,6,-5.9,67.3,1.1,2.5,231,,0,0,0
2035,1,1,7,-6,65.6,1.1,2.4,229,,4,0,0
2035,1,1,8,-5.7,66.1,1,2.3,233,,17,17,0
2035,1,1,9,-5.8,73.8,1,2,225,,33,33,0
2035,1,1,10,-4.1,73.4,1.2,1.9,218,,297,146,477
2035,1,1,11,-1.8,64.4,1.2,2.4,215,,348,84,742
2035,1,1,12,-0.8,65.3,1.6,4.7,61,,357,108,712
2035,1,1,13,-0.2,68.7,1.1,3.9,68,,284,71,702
2035,1,1,14,-0.2,61.1,1.7,3.2,218,,186,107,366
2035,1,1,15,-2.6,66,0.7,2.6,243,,16,16,0
2035,1,1,16,-4.1,68.6,1,2.5,225,,0,0,0
2035,1,1,17,-4.8,70,1.1,2.5,229,,1,0,0
2035,1,1,18,-4.8,69.1,1,2.3,231,,0,0,0
2035,1,1,19,-4.8,63.1,1,2.6,238,,0,0,0
2035,1,1,20,-4.7,57.9,1.9,6.7,252,,0,0,0
2035,1,1,21,-4.6,67.7,2.1,6.7,236,,0,0,0
2035,1,1,22,-4.7,76.5,1.4,4.7,234,,0,0,0
2035,1,1,23,-4.1,75.7,0.8,2.4,270,,0,0,0
2035,1,2,0,-3.9,76.9,1.1,2.4,229,,0,0,0
2035,1,2,1,-3.3,77.4,0.6,2.5,315,,0,0,0
2035,1,2,2,-2.5,75.5,0.9,3.7,225,,0,0,0
2035,1,2,3,-2.3,75.7,0.7,4,284,,0,0,0
2035,1,2,4,-1.8,73.9,0.9,4.2,254,,0,0,0
2035,1,2,5,-1.8,74.4,1.6,5.2,342,,0,0,0
2035,1,2,6,-2.7,78.6,0.9,3.9,246,,0,0,0
2035,1,2,7,-3.1,79.7,1.3,3.3,239,,4,0,0
2035,1,2,8,-2.9,80,1.2,3.8,239,,15,15,0
2035,1,2,9,-2.7,80.7,1.2,4.8,243,,31,31,0
2035,1,2,10,-0.3,70.3,1.1,4.7,229,,286,131,484
2035,1,2,11,1.5,65.5,0.9,3.8,180,,362,107,714
2035,1,2,12,2.2,74.1,1.5,5.5,56,,351,80,770
2035,1,2,13,2.3,77,2,5.4,54,,292,78,705
2035,1,2,14,2.6,74.5,2.1,7.7,41,,181,101,367
2035,1,2,15,0.9,80.9,0.8,5.6,34,,20,20,0
2035,1,2,16,0.8,79.2,0.6,4.9,326,,2,0,0
2035,1,2,17,0.6,79.1,1.4,6.7,22,,1,0,0
2035,1,2,18,0.3,81.6,1,3.2,31,,0,0,0
2035,1,2,19,0.4,82.3,0.5,2,256,,0,0,0
2035,1,2,20,0.3,81.9,1.2,3.2,234,,0,0,0
2035,1,2,21,-0.3,66.7,2.6,6.8,37,,0,0,0
2035,1,2,22,-0.8,65.5,0.6,3.6,180,,0,0,0
2035,1,2,23,-1.7,61.6,0.8,2.7,315,,0,0,0
2035,1,3,0,-3.4,54.3,0.4,1.8,243,,0,0,0
2035,1,3,1,-4.3,54.3,1,2.4,233,,0,0,0
2035,1,3,2,-4.9,41.5,1.4,3.6,234,,0,0,0
2035,1,3,3,-5.7,41.6,1.1,2.7,236,,0,0,0
2035,1,3,4,-6.2,41.5,1.3,2.3,228,,0,0,0
2035,1,3,5,-6,41.3,1,2.4,238,,0,0,0
2035,1,3,6,-6.3,48.6,1,2.3,246,,0,0,0
2035,1,3,7,-7.1,50.7,1.1,2.4,229,,4,0,0
2035,1,3,8,-7,54.2,1.2,2.2,228,,19,19,0
2035,1,3,9,-6.2,50.3,1.1,2.5,232,,34,34,0
2035,1,3,10,-5.1,47.1,1.6,4.8,63,,291,137,482
2035,1,3,11,-3,35.9,2,6.2,73,,369,112,715
2035,1,3,12,-1.3,32.2,1,2.3,207,,365,102,742
2035,1,3,13,-1.4,36.7,0.8,2.1,207,,287,71,704
2035,1,3,14,-1.8,36.3,0.8,2.5,180,,189,107,371
2035,1,3,15,-4.1,48,1,2.6,225,,17,17,0
2035,1,3,16,-5.4,55.2,0.8,2.7,225,,3,0,0
2035,1,3,17,-6.3,60.3,1,2.2,229,,1,0,0
2035,1,3,18,-6.7,59.5,0.9,2.3,229,,0,0,0
2035,1,3,19,-7.2,62.1,1,2.2,225,,0,0,0
2035,1,3,20,-7.2,60.2,0.9,2.6,230,,0,0,0
2035,1,3,21,-7.6,60.3,0.8,2.4,230,,0,0,0
2035,1,3,22,-7.7,61.1,1.2,2.2,228,,0,0,0
2035,1,3,23,-7.7,61.4,1.2,2.3,225,,0,0,0
2035,1,4,0,-8,65.4,1,2.8,229,,0,0,0
2035,1,4,1,-7.8,64,1,1.9,225,,0,0,0
2035,1,4,2,-7.4,58.5,1,3,233,,0,0,0
2035,1,4,3,-7.3,63,1.2,2.7,225,,0,0,0
2035,1,4,4,-7.5,63.6,1.3,2.3,225,,0,0,0
2035,1,4,5,-6.9,60,1.2,2.8,225,,0,0,0
2035,1,4,6,-6.8,57.5,1.3,2.4,231,,0,0,0
2035,1,4,7,-6.3,54.3,1.4,2.7,225,,4,0,0
2035,1,4,8,-5.4,50.6,1,2.8,225,,19,19,0
2035,1,4,9,-4.4,47.3,1.6,2.7,227,,32,32,0
2035,1,4,10,-2.4,56.4,1.3,2.5,219,,290,134,484
2035,1,4,11,0.8,53.5,1.3,2.5,222,,368,111,715
2035,1,4,12,3.2,45.6,1.2,2.5,211,,360,85,773
2035,1,4,13,4.6,44.5,1.2,2.5,225,,296,78,707
2035,1,4,14,3.4,48.4,1.2,3.3,215,,191,108,372
2035,1,4,15,1.1,54,1.4,3.1,225,,16,16,0
2035,1,4,16,0.2,57.7,1.3,2.6,225,,0,0,0
2035,1,4,17,-0.5,61.2,1.5,2.7,228,,1,0,0
2035,1,4,18,-0.7,61.9,1.6,2.6,225,,0,0,0
2035,1,4,19,-0.1,59.5,1,1.9,233,,0,0,0
2035,1,4,20,-1.1,63.7,1.3,2.7,231,,0,0,0
2035,1,4,21,-1.6,64.4,1.4,2.7,234,,0,0,0
2035,1,4,22,-1.8,62.1,1.6,3,233,,0,0,0
2035,1,4,23,-2.2,61,1.5,3.3,228,,0,0,0
2035,1,5,0,-2.1,62.9,1.6,2.9,227,,0,0,0
2035,1,5,1,-1.9,60.7,1.4,3,231,,0,0,0
2035,1,5,2,-1.4,58,1.6,2.8,227,,0,0,0
2035,1,5,3,-1.5,57.9,1.6,3,238,,0,0,0
2035,1,5,4,-2,58.9,1.4,3.6,243,,0,0,0
2035,1,5,5,-2.5,62.9,1.4,2.7,234,,0,0,0
2035,1,5,6,-1.6,59.2,1.6,3.1,237,,0,0,0
2035,1,5,7,-1.7,59.1,1.6,2.9,225,,6,0,0
2035,1,5,8,-1.7,60.7,1.3,2.6,228,,43,43,0
2035,1,5,9,-0.7,58.5,1.5,3.1,231,,78,78,0
2035,1,5,10,0.4,56.7,1,2.2,234,,198,136,193
2035,1,5,11,2.3,51.9,1.5,3.2,225,,320,121,550
2035,1,5,12,4.5,45.4,1.5,3.2,222,,363,107,713
2035,1,5,13,5.4,34.3,2.2,3.6,227,,302,74,733
2035,1,5,14,4.2,36.6,1.8,3.1,223,,201,117,377
2035,1,5,15,1.5,47.4,1,2.4,233,,18,18,0
2035,1,5,16,0.1,53.4,1.1,2.5,241,,3,0,0
2035,1,5,17,-0.7,55.1,1,3,243,,1,0,0
2035,1,5,18,-1.4,55.9,1.3,3.3,234,,0,0,0
2035,1,5,19,-2.5,60.9,1,2.4,229,,0,0,0
2035,1,5,20,-2.9,59.9,1.2,2.2,222,,0,0,0
2035,1,5,21,-3,60.1,1.3,2.6,231,,0,0,0
2035,1,5,22,-2.8,53.2,1.6,3.4,235,,0,0,0
2035,1,5,23,-2.6,45.6,1.5,3.1,228,,0,0,0
2035,1,6,0,-2.4,48.7,1,3.4,238,,0,0,0
2035,1,6,1,-2.4,54.8,1.7,4.7,239,,0,0,0
2035,1,6,2,-0.9,59.5,1.3,5.3,263,,0,0,0
2035,1,6,3,0.4,58,1.5,4.1,270,,0,0,0
2035,1,6,4,0.5,62,0.8,4.1,270,,0,0,0
2035,1,6,5,0.7,63.3,1.7,7.8,233,,0,0,0
2035,1,6,6,0.4,68.2,2.1,7.5,259,,0,0,0
2035,1,6,7,1.3,72.9,1.7,4.4,248,,6,0,0
2035,1,6,8,1.8,79.4,0.6,3.8,261,,47,47,0
2035,1,6,9,2.5,76.3,1.5,5.5,32,,174,174,0
2035,1,6,10,4.7,69.2,0.7,2.9,225,,288,84,631
2035,1,6,11,3.7,68.5,4.3,9.2,45,,365,105,715
2035,1,6,12,3.8,70.5,2.8,7.7,52,,377,120,715
2035,1,6,13,4.4,67.7,1.1,3.8,90,,302,87,688
2035,1,6,14,4.6,62.7,0.6,3,198,,195,109,377
2035,1,6,15,2.5,60.6,0.5,2.7,233,,18,18,0
2035,1,6,16,0.6,69.2,1,2.5,233,,3,0,0
2035,1,6,17,-0.2,70.4,1,2.3,229,,1,0,0
2035,1,6,18,-0.7,71.2,1.2,3,232,,0,0,0
2035,1,6,19,-0.8,70.5,0.8,2.4,240,,0,0,0
2035,1,6,20,-1.4,70.4,0.8,2,236,,0,0,0
2035,1,6,21,-2.1,70.5,1.2,2.4,228,,0,0,0
2035,1,6,22,-2.2,68.5,0.8,3.3,233,,0,0,0
2035,1,6,23,-2.8,66,1.5,3.6,238,,0,0,0
2035,1,7,0,-2.5,66,0.8,2.9,236,,0,0,0
2035,1,7,1,-2.8,71.1,1.4,3.3,232,,0,0,0
2035,1,7,2,-2.8,74.6,1.1,2.6,225,,0,0,0
2035,1,7,3,-3,74.7,1.5,2.4,222,,0,0,0
2035,1,7,4,-3.2,75.4,1.2,2.2,228,,0,0,0
2035,1,7,5,-2.8,72.9,1.5,2.3,228,,0,0,0
2035,1,7,6,-2.5,72.7,1.4,2.3,222,,0,0,0
2035,1,7,7,-1.9,68.6,1.6,2.4,230,,6,0,0
2035,1,7,8,-1.5,68,1.4,2.3,228,,19,19,0
2035,1,7,9,-0.4,61.8,1.3,2.6,231,,31,31,0
2035,1,7,10,1.4,59.5,1.5,3.3,222,,294,135,488
2035,1,7,11,4.6,48.8,1.2,2.6,222,,380,118,716
2035,1,7,12,6.5,44.5,1.1,2.6,218,,366,107,714
2035,1,7,13,7.3,44.2,1.3,2.8,216,,291,75,685
2035,1,7,14,6.6,41.2,1.4,2.9,216,,207,119,382
2035,1,7,15,3.9,47.4,1.2,2.7,228,,20,20,0
2035,1,7,16,2.3,54.9,1.3,2.1,231,,4,0,0
2035,1,7,17,1.9,53.3,1.4,2.2,231,,1,0,0
2035,1,7,18,1.4,54.4,1.5,2,228,,0,0,0
2035,1,7,19,1.5,51.5,1.6,2.1,230,,0,0,0
2035,1,7,20,1.2,52.8,1.6,2.4,230,,0,0,0
2035,1,7,21,0.5,54.1,1.5,2.1,230,,0,0,0
2035,1,7,22,0.6,50.9,1.6,2.4,227,,0,0,0
2035,1,7,23,0.3,51.4,1.8,2.7,230,,0,0,0
2035,1,8,0,0.3,50.2,1.6,2.6,227,,0,0,0
2035,1,8,1,-0.4,53.4,1.5,2.6,228,,0,0,0
2035,1,8,2,-0.2,51.7,1.6,2.6,227,,0,0,0
2035,1,8,3,-0.8,53.2,1.7,2.7,230,,0,0,0
2035,1,8,4,-0.2,45.9,1.5,3,228,,0,0,0
2035,1,8,5,0,43.5,1.7,2.6,227,,0,0,0
2035,1,8,6,-0.6,48.4,1.6,2.3,227,,0,0,0
2035,1,8,7,0.2,47.8,1.7,2.9,227,,6,0,0
2035,1,8,8,-0.4,56.3,1.6,2.7,230,,18,18,0
2035,1,8,9,0.5,53.7,1.4,2.5,228,,31,31,0
2035,1,8,10,2.1,53,1.7,2.8,225,,296,137,488
2035,1,8,11,5.6,41.1,1.5,3.1,228,,375,112,716
2035,1,8,12,7.5,36.6,1.4,3.4,222,,371,88,778
2035,1,8,13,8.4,31.2,2.3,4.7,229,,309,75,738
2035,1,8,14,7.2,33.1,1.9,3.5,223,,212,123,385
2035,1,8,15,5.1,40.9,1.3,3.4,238,,17,17,0
2035,1,8,16,2.7,49.3,1.3,3.6,234,,4,0,0
2035,1,8,17,1.7,51.7,1.6,3.5,230,,1,0,0
2035,1,8,18,1.3,53.8,1.5,4.5,233,,0,0,0
2035,1,8,19,1.2,56,1.5,3.8,236,,0,0,0
2035,1,8,20,1.4,52,1.6,4.1,248,,0,0,0
2035,1,8,21,0.6,55.6,1.5,4.3,243,,0,0,0
2035,1,8,22,0,55.5,1.5,3.2,233,,0,0,0
2035,1,8,23,-0.7,57,1.5,3.3,234,,0,0,0
2035,1,9,0,-0.8,57.1,1,2.8,233,,0,0,0
2035,1,9,1,-0.6,57.6,1.3,4.7,241,,0,0,0
2035,1,9,2,0,55.2,1,3.6,225,,0,0,0
2035,1,9,3,-0.5,56.5,1.4,4.5,240,,0,0,0
2035,1,9,4,-0.6,57.6,1.4,3.8,240,,0,0,0
2035,1,9,5,-1.2,60.6,1.5,4.1,236,,0,0,0
2035,1,9,6,-1,59.9,1.4,3.8,238,,0,0,0
2035,1,9,7,-0.8,60.1,1.6,3.4,238,,6,0,0
2035,1,9,8,-0.5,59.6,1.3,3.7,238,,52,52,0
2035,1,9,9,0.5,58.8,1.2,2.8,222,,121,121,0
2035,1,9,10,2.5,55.5,0.9,2.1,221,,209,125,251
2035,1,9,11,4.3,52.1,0.9,2.3,221,,233,162,190
2035,1,9,12,5.9,50,1,3,212,,311,104,563
2035,1,9,13,6.5,42.9,1.6,3.3,215,,297,77,686
2035,1,9,14,5.5,45.6,1.7,3.4,220,,206,114,387
2035,1,9,15,3.2,53.1,1.2,3.4,228,,22,22,0
2035,1,9,16,1.7,61.4,1.3,2.8,228,,6,0,0
2035,1,9,17,0.7,66.6,1.3,2.6,231,,2,0,0
2035,1,9,18,0.5,65.8,1.5,2.9,228,,0,0,0
2035,1,9,19,0.3,66,1.3,2.1,228,,0,0,0
2035,1,9,20,0.5,63.6,1.3,2.3,231,,0,0,0
2035,1,9,21,0.4,62.4,1.5,2.7,228,,0,0,0
2035,1,9,22,0.3,60.1,1.3,2.4,228,,0,0,0
2035,1,9,23,0.6,58.2,1.5,2.1,228,,0,0,0
2035,1,10,0,0.6,59.9,1.5,2,228,,0,0,0
2035,1,10,1,-0.1,63.7,1.5,2.5,228,,0,0,0
2035,1,10,2,0.6,62.8,1.5,2.5,233,,0,0,0
2035,1,10,3,0.7,64.1,1.6,2.7,230,,0,0,0
2035,1,10,4,0.7,64.2,1.7,2.6,230,,0,0,0
2035,1,10,5,0.6,63.1,1.4,2.8,228,,0,0,0
2035,1,10,6,0.7,62,1.5,2.1,228,,0,0,0
2035,1,10,7,-0.2,63.9,1.4,2.2,225,,4,0,0
2035,1,10,8,0,59.2,1.6,2.3,230,,17,17,0
2035,1,10,9,0.8,52.7,1.7,2.5,227,,30,30,0
2035,1,10,10,2.8,50.2,1.7,2.6,227,,301,138,491
2035,1,10,11,5.7,44.3,1.4,2,222,,382,115,717
2035,1,10,12,7.6,38.7,1.2,2.6,219,,376,88,781
2035,1,10,13,8.6,32,1.4,2.7,219,,317,77,741
2035,1,10,14,7.5,31.9,1.7,2.8,218,,222,129,390
2035,1,10,15,4.2,42.9,1.3,2.5,225,,17,17,0
2035,1,10,16,2.5,49.4,1.4,2.3,228,,4,0,0
2035,1,10,17,1.7,51.3,1.4,2.1,225,,0,0,0
2035,1,10,18,1.5,50.4,1.4,2.4,228,,0,0,0
2035,1,10,19,1.3,49.3,1.5,2.3,225,,0,0,0
2035,1,10,20,0.8,51.9,1.3,2.9,225,,0,0,0
2035,1,10,21,0,52.2,1.4,2.7,231,,0,0,0
2035,1,10,22,-0.2,51.1,1.5,2.4,231,,0,0,0
2035,1,10,23,-0.9,54.6,1.4,2.9,228,,0,0,0
2035,1,11,0,-0.8,50.9,1.1,2.6,232,,0,0,0
2035,1,11,1,-1.1,50.6,0.8,1.7,230,,0,0,0
2035,1,11,2,-2.1,49.8,1.2,2.1,232,,0,0,0
2035,1,11,3,-2.3,45.2,1.6,3.1,227,,0,0,0
2035,1,11,4,-2.6,49.9,1.3,2.1,231,,0,0,0
2035,1,11,5,-3.2,55.7,1.4,2.3,231,,0,0,0
2035,1,11,6,-3,49.9,1.5,2.5,230,,0,0,0
2035,1,11,7,-2.9,51.1,1.9,2.8,223,,6,0,0
2035,1,11,8,-2.3,45.2,1.4,2.1,231,,18,18,0
2035,1,11,9,-2.5,49,1.1,2.3,225,,31,31,0
2035,1,11,10,-0.4,45.6,1.6,3.8,225,,301,137,493
2035,1,11,11,2.8,41.3,1.3,2.3,219,,380,112,717
2035,1,11,12,4,33.6,0.9,3.1,63,,375,84,782
2035,1,11,13,5.3,31.1,1.8,3.8,214,,316,82,717
2035,1,11,14,5.3,31.3,1.9,3.8,227,,225,130,394
2035,1,11,15,2.7,43,1,2.8,238,,21,21,0
2035,1,11,16,0.3,54.8,1.3,2.5,228,,4,0,0
2035,1,11,17,-0.4,55,1.3,2.2,231,,1,0,0
2035,1,11,18,-0.5,54.8,1.4,2.4,228,,0,0,0
2035,1,11,19,-0.6,52.6,1.1,2.1,229,,0,0,0
2035,1,11,20,-1.6,57.4,1.2,2.3,225,,0,0,0
2035,1,11,21,-2,55.7,1.3,2.1,231,,0,0,0
2035,1,11,22,-1.8,51.1,1.2,2.3,228,,0,0,0
2035,1,11,23,-2.4,51.7,1.3,2,228,,0,0,0
2035,1,12,0,-2.6,48.1,1.4,2.2,231,,0,0,0
2035,1,12,1,-2.9,51.1,1.4,2,231,,0,0,0
2035,1,12,2,-2.9,49.9,1.3,1.8,231,,0,0,0
2035,1,12,3,-3,50,1.4,2.2,231,,0,0,0
2035,1,12,4,-3.5,51.3,1.4,2.2,228,,0,0,0
2035,1,12,5,-3.1,48.9,1.5,2.4,230,,0,0,0
2035,1,12,6,-2.2,45.4,0.7,2.2,243,,0,0,0
2035,1,12,7,-2.8,48.3,1.3,2.1,225,,6,0,0
2035,1,12,8,-3.3,51.5,1.2,2.1,228,,18,18,0
2035,1,12,9,-3,49.9,1.3,1.8,231,,30,30,0
2035,1,12,10,-1,49.3,1.4,2,219,,306,140,494
2035,1,12,11,1.8,43.8,0.8,2.1,202,,383,112,719
2035,1,12,12,4.1,34.3,1.4,2.6,203,,380,86,785
2035,1,12,13,4.7,32.1,2,3.8,217,,321,91,695
2035,1,12,14,3.7,32.3,1.7,3.1,230,,196,86,452
2035,1,12,15,1.7,40.8,1,2.6,233,,51,51,0
2035,1,12,16,0,52.7,1.2,2.1,228,,6,0,0
2035,1,12,17,-0.8,51,1.1,2,229,,2,0,0
2035,1,12,18,-1.2,52.1,1.1,2.4,232,,0,0,0
2035,1,12,19,-1,51.3,1.2,2.2,232,,0,0,0
2035,1,12,20,-0.7,53.3,1.1,1.9,225,,0,0,0
2035,1,12,21,0,51,0.7,2.2,270,,0,0,0
2035,1,12,22,-0.5,54.8,0.8,2.1,230,,0,0,0
2035,1,12,23,-1.3,59.4,0.9,1.6,229,,0,0,0
2035,1,13,0,-1.3,60.9,0.8,2,225,,0,0,0
2035,1,13,1,-0.9,60.4,0.6,1.7,225,,0,0,0
2035,1,13,2,-0.7,60.7,0.5,2,233,,0,0,0
2035,1,13,3,-0.6,64.1,1.5,5.6,228,,0,0,0
2035,1,13,4,0.2,67,2.8,6.7,233,,0,0,0
2035,1,13,5,-0.8,72.8,1.6,6.9,29,,0,0,0
2035,1,13,6,-1.8,74.4,1,3.1,27,,0,0,0
2035,1,13,7,-2.6,75.1,0.9,2.7,234,,3,0,0
2035,1,13,8,-2.9,75.2,0.8,2.5,248,,15,15,0
2035,1,13,9,-3.2,73.8,0.8,2.3,230,,30,30,0
2035,1,13,10,-1.6,69.8,1.3,2.3,215,,264,146,348
2035,1,13,11,0,64.3,1.9,4.6,61,,378,112,701
2035,1,13,12,0.4,68,2.6,5.7,51,,375,78,785
2035,1,13,13,0.8,69,2.4,5.7,51,,314,75,718
2035,1,13,14,1.6,51,1.6,3.8,218,,226,126,400
2035,1,13,15,-1.3,77.5,1.2,5,45,,25,25,0
2035,1,13,16,-2.2,67.6,0.9,2.7,225,,1,0,0
2035,1,13,17,-3.5,62,1.2,3.5,228,,0,0,0
2035,1,13,18,-4,52.3,1.3,2.5,231,,0,0,0
2035,1,13,19,-4.7,50.4,1.4,2.3,222,,0,0,0
2035,1,13,20,-5.1,54.8,1.2,2.1,222,,0,0,0
2035,1,13,21,-5.3,58.3,1.2,2.5,222,,0,0,0
2035,1,13,22,-5.5,57.2,1.1,2.2,225,,0,0,0
2035,1,13,23,-5.9,60.8,1.5,2.5,222,,0,0,0
2035,1,14,0,-6.1,54.7,0.8,3.3,90,,0,0,0
2035,1,14,1,-5.6,58.3,0.9,2.6,225,,0,0,0
2035,1,14,2,-6,61.7,1.7,2.8,227,,0,0,0
2035,1,14,3,-5.9,62.7,1.2,3,225,,0,0,0
2035,1,14,4,-6,63.9,1.4,2.6,225,,0,0,0
2035,1,14,5,-5.5,60.2,1.3,2.2,231,,0,0,0
2035,1,14,6,-4.4,48.7,1,3,360,,0,0,0
2035,1,14,7,-5.8,57,0.7,2.4,225,,6,0,0
2035,1,14,8,-5.9,63.7,0.7,2.4,231,,17,17,0
2035,1,14,9,-5.5,66.6,1.3,2.8,225,,31,31,0
2035,1,14,10,-3,50.8,1.2,3.6,225,,295,127,496
2035,1,14,11,-1,44.3,1.4,3.3,216,,309,125,481
2035,1,14,12,1.6,36.6,1.2,3.8,166,,389,121,703
2035,1,14,13,3.6,32.2,1.2,2.5,215,,332,89,723
2035,1,14,14,1.5,42.5,1.4,5.9,48,,238,137,403
2035,1,14,15,-0.6,52.8,0.8,3,315,,33,33,0
2035,1,14,16,-2.2,51.9,1.3,2.7,228,,4,0,0
2035,1,14,17,-3.1,43.5,1.5,3.3,225,,1,0,0
2035,1,14,18,-3.7,44.8,1.1,2.2,225,,0,0,0
2035,1,14,19,-4.3,40.3,1.5,2.6,225,,0,0,0
2035,1,14,20,-4.1,34.8,1.1,1.9,225,,0,0,0
2035,1,14,21,-4.7,36.8,1.3,2,225,,0,0,0
2035,1,14,22,-4.8,37.6,1.6,2.3,225,,0,0,0
2035,1,14,23,-5.3,41.4,1.4,2.1,222,,0,0,0
2035,1,15,0,-4.7,38.2,1.6,2.3,225,,0,0,0
2035,1,15,1,-5.2,39.7,1.5,2.4,228,,0,0,0
2035,1,15,2,-4.5,41.2,1.6,2.5,227,,0,0,0
2035,1,15,3,-4.7,39.9,1.6,2.2,225,,0,0,0
2035,1,15,4,-4.8,45.4,1.4,2.3,225,,0,0,0
2035,1,15,5,-4.2,42.1,1.5,2.5,225,,0,0,0
2035,1,15,6,-4.3,40.2,1.7,2.6,225,,0,0,0
2035,1,15,7,-4,40.1,1.3,2.9,228,,6,0,0
2035,1,15,8,-3.6,36.9,1.2,2,228,,19,19,0
2035,1,15,9,-3.7,37.4,1.2,2.1,225,,45,45,0
2035,1,15,10,-1.5,46.3,1.2,2.5,214,,319,149,496
2035,1,15,11,1.6,37.6,1.3,4.1,112,,396,105,757
2035,1,15,12,4,31.6,1.3,2.7,209,,395,91,791
2035,1,15,13,4.9,31.2,1.6,2.9,210,,339,92,726
2035,1,15,14,4.6,32.5,1.4,2.5,210,,253,117,536
2035,1,15,15,1.9,41.2,1.1,4.7,53,,59,59,0
2035,1,15,16,0.1,42.1,1.1,2.5,229,,4,0,0
2035,1,15,17,-1.1,40.6,1.4,2.8,231,,1,0,0
2035,1,15,18,-2.2,47.1,1.4,2.5,222,,0,0,0
2035,1,15,19,-2.3,46.5,1.6,3.3,227,,0,0,0
2035,1,15,20,-1.7,41.2,1.3,2.2,231,,0,0,0
2035,1,15,21,-1.1,38.4,1.4,2.4,228,,0,0,0
2035,1,15,22,-1.9,40.5,0.8,2,230,,0,0,0
2035,1,15,23,-3.2,47.5,1.3,2.8,228,,0,0,0
2035,1,16,0,-3.2,47.2,1.4,2.1,231,,0,0,0
2035,1,16,1,-3,44.6,1.6,2.4,227,,0,0,0
2035,1,16,2,-2.4,42.3,1.6,2.3,227,,0,0,0
2035,1,16,3,-2.3,39.7,0.8,2,231,,0,0,0
2035,1,16,4,-3.7,47.4,1.4,2.5,225,,0,0,0
2035,1,16,5,-4.2,48.6,1.4,2.4,225,,0,0,0
2035,1,16,6,-4.1,48.5,1.6,2.6,225,,0,0,0
2035,1,16,7,-3.9,47.2,1.6,2.6,227,,7,0,0
2035,1,16,8,-3,43.2,1.6,2.2,230,,20,20,0
2035,1,16,9,-2.5,39.4,1.2,2.1,228,,33,33,0
2035,1,16,10,-0.1,41.5,1.7,2.4,220,,325,153,500
2035,1,16,11,2.9,38.7,1.5,2.3,220,,400,106,759
2035,1,16,12,5.2,34,1.3,2.2,209,,397,90,793
2035,1,16,13,6.4,30.9,1.3,2.8,209,,338,89,727
2035,1,16,14,5.6,30.4,2.1,3.6,227,,246,141,410
2035,1,16,15,2.8,38.4,1.4,2.8,219,,40,40,0
2035,1,16,16,1.2,43.6,1.1,1.9,229,,5,0,0
2035,1,16,17,-0.3,49.9,1.3,2,228,,2,0,0
2035,1,16,18,-0.7,49.1,1.3,1.9,228,,0,0,0
2035,1,16,19,-1.4,50,1.4,1.9,225,,0,0,0
2035,1,16,20,-1.4,47.4,1.4,2.2,225,,0,0,0
2035,1,16,21,-2,48.4,1.3,1.9,228,,0,0,0
2035,1,16,22,-2,41.7,1.3,1.9,231,,0,0,0
2035,1,16,23,-1.7,38.4,1.3,2,225,,0,0,0
2035,1,17,0,-2.5,42.2,1.4,2.1,225,,0,0,0
2035,1,17,1,-2.8,47,1.4,2.2,228,,0,0,0
2035,1,17,2,-2.8,45.9,1.3,2.3,228,,0,0,0
2035,1,17,3,-3.1,46.5,1.5,2.3,228,,0,0,0
2035,1,17,4,-3.5,47.6,1.4,1.9,228,,0,0,0
2035,1,17,5,-3.7,48,1.5,2.3,228,,0,0,0
2035,1,17,6,-3.3,44.6,1.5,2.5,228,,0,0,0
2035,1,17,7,-3.1,43.6,1.3,2,225,,5,5,0
2035,1,17,8,-2.9,42,1.4,2,228,,40,40,0
2035,1,17,9,-2,38.3,1.4,2.3,225,,105,105,0
2035,1,17,10,0.7,40.7,1.3,2.1,222,,321,117,588
2035,1,17,11,2.6,35.9,0.9,3.2,117,,397,115,722
2035,1,17,12,4.7,32.1,1.3,2.4,203,,393,83,794
2035,1,17,13,5.6,28.2,1.4,2.9,210,,336,74,757
2035,1,17,14,4.9,27.2,2,3.6,217,,242,98,549
2035,1,17,15,1.9,39.6,1.2,3.3,222,,40,40,0
2035,1,17,16,0.3,44.7,1.2,2.2,225,,3,3,0
2035,1,17,17,-0.2,43.2,1.2,2.3,235,,0,0,0
2035,1,17,18,-1.1,47.8,1.2,2.5,225,,0,0,0
2035,1,17,19,-1.6,50.4,1.3,2.3,228,,0,0,0
2035,1,17,20,-1.8,46.4,1.4,2.6,231,,0,0,0
2035,1,17,21,-1.9,42.6,1.1,2.1,225,,0,0,0
2035,1,17,22,-2.3,44.2,1.3,2.2,228,,0,0,0
2035,1,17,23,-1.8,45.7,1.2,2.3,228,,0,0,0
2035,1,18,0,-2.7,53.1,1.4,3,234,,0,0,0
2035,1,18,1,-2.8,55.6,1.3,2.8,228,,0,0,0
